depth,zenit,azimut
0,0,0
10,0.35,90.02
20,0.69,90.02
30,0.36,106.95
40,0.21,180.02
50,0.39,254.18
60,0.74,270.02
63.7,0.63,287.87
70,0.64,324.85
80,1.05,0.02
90,0.79,48.36
100,1.18,90.02
110,0.84,135.5
120,1.2,180.02
130,0.87,226.19
140,1.25,270.02
150,0.85,312.39
160,1.14,0.02
170,1.04,56.79
180,1.74,90.02
190,1.23,135.18
200,1.75,180.02
210,1.25,225.67
220,1.79,270.02
230,1.32,317.47
240,1.95,0.02
250,1.35,43.67
260,1.86,90.02
270,1.31,134.87
280,1.85,180.02
290,1.28,223.59
300,1.76,270.02
310,1.15,310.27
320,1.49,0.02
330,1.03,43.64
340,1.42,90.02
350,1.07,138.61
360,1.61,180.02
370,1.2,228.05
380,1.79,270.02
390,1.3,316.42
400,1.88,0.02
410,1.34,45.47
420,1.91,90.02
430,1.3,132.84
440,1.77,180.02
450,1.24,224.37
460,1.73,270.02
470,1.24,315.84
480,1.78,0.02
490,1.25,44.37
500,1.74,90.02
510,1.22,134.69
520,1.72,180.02
530,1.16,222.23
540,1.56,270.02
550,1.1,315.02
560,1.56,0.02
570,1.05,42.13
580,1.41,90.02
590,1.02,136.21
600,1.47,180.02
610,1,222.8
620,1.36,270.02
630,1.01,317.82
640,1.5,0.02
650,1.16,49.74
660,1.77,90.02
670,1.28,136.29
680,1.85,180.02
690,1.29,224.24
700,1.8,270.02
710,1.26,314.38
720,1.76,0.02
730,1.28,46.76
740,1.87,90.02
750,1.35,136.22
760,1.95,180.02
770,1.38,225.17
780,1.96,270.02
790,1.96,0.02
800,1.98,90.02
810,1.39,134.58
820,1.95,180.02
830,1.36,224.28
840,1.9,270.02
850,1.3,313.15
860,1.78,0.02
870,1.25,44.7
880,1.76,90.02
890,1.28,136.76
900,1.87,180.02
910,1.3,223.77
920,1.79,270.02
930,1.28,315.81
940,1.84,0.02
950,1.29,44.71
960,1.82,90.02
970,1.29,135.02
980,1.82,180.02
990,1.25,223.24
1000,1.71,270.02
1010,1.02,303.01
1020,1.11,0.02
1030,0.87,50.17
1039,1.27,87.5
1040,1.33,90.02
1050,0.97,136.69
1060,1.41,180.02
1070,1.06,228.27
1080,1.58,270.02
1090,1.21,319.21
1100,1.83,0.02
1110,1.16,38.22
1120,1.44,90.02
1130,1.05,136.57
1140,1.52,180.02
1150,1.08,225.02
1160,1.52,270.02
1170,1.11,316.67
1180,1.61,0.02
1190,1.2,47.89
1200,1.78,90.02
1210,0.99,115.55
1219.84,0.84,179.04
1220,0.85,180.02
1230,0.76,236.02
1240,1.26,270.02
1250,0.94,318.03
1260,1.4,0.02
1270,1.02,46.42
1278.04,1.33,84.1
1280,1.47,90.02
1290,1.14,139.99
1300,1.75,180.02
1310,1.22,224.19
1320,1.7,270.02
1330,0.98,299.99
1340,0.98,0.02
1350,0.79,51.92
1360,1.25,90.02
1370,0.98,140.4
1380,1.51,180.02
1390,1.21,231.54
1400,1.9,270.02
1410,1.34,315.02
1420,1.9,0.02
1430,1.2,37.94
1440,1.48,90.02
1450,1.17,140.75
1460,1.81,180.02
1470,1.43,230.83
1480,2.22,270.02
1490,1.33,303.17
1500,1.45,0.02
1510,1.1,48.54
1520,1.64,90.02
1530,1.23,138.31
1539.6,1.8,178.98
1540,1.84,180.02
1550,1.58,234.31
1560,2.56,270.02
1570,1.55,304.53
1580,1.76,0.02
1590,1.34,48.95
1600,2.02,90.02
1600.29,1.99,90.79
1610,1.37,132.66
1620,1.86,180.02
1630,1.41,228.89
1640,2.13,270.02
1650,1.51,315.29
1660,2.15,0.02
1661.67,1.97,3.84
1670,1.33,36.16
1680,1.57,90.02
1690,1.26,141.47
1700,1.97,180.02
1710,1.5,228.81
1720,2.25,270.02
1730,1.47,310.05
1740,1.89,0.02
1750,1.34,45.17
1760,1.9,90.02
1770,1.41,137.75
1780,2.09,180.02
1790,1.42,222.74
1800,1.93,270.02
1810,1.26,310.03
1820,1.62,0.02
1822.55,1.42,6.8
1830,1.05,39.2
1840,1.32,90.02
1849,0.93,128.67
1850,0.92,134.36
1860,1.29,180.02
1870,1,229.7
1880,1.52,270.02
1890,1.21,321.06
1900,1.88,0.02
1910,1.32,44.4
1920,1.84,90.02
1930,1.17,127.88
1940,1.43,180.02
1950,1,224.41
1954.73,1.1,249.94
1960,1.4,270.02
1970,1.02,316.61
1980,1.48,0.02
1990,1.28,54.71
2000,2.09,90.02
2010,1.4,131.84
2020,1.87,180.02
2030,1.37,227.09
2040,2.01,270.02
2050,1.48,317.21
2060,2.17,0.02
2070,1.71,50.49
2080,2.63,90.02
